,value,group
317,0.98046875,"XGB
Teste"
318,0.984375,"XGB
Teste"
319,0.99609375,"XGB
Teste"
320,0.9921875,"XGB
Teste"
321,0.9921875,"XGB
Teste"
322,0.984375,"XGB
Teste"
323,0.98828125,"XGB
Teste"
324,0.984375,"XGB
Teste"
325,0.98046875,"XGB
Teste"
326,0.99609375,"XGB
Teste"
327,0.9921875,"XGB
Teste"
328,0.984375,"XGB
Teste"
329,1.0,"XGB
Teste"
330,0.98828125,"XGB
Teste"
331,0.9921875,"XGB
Teste"
332,0.984375,"XGB
Teste"
333,0.98828125,"XGB
Teste"
334,1.0,"XGB
Teste"
335,0.984375,"XGB
Teste"
336,0.9921875,"XGB
Teste"
337,0.98828125,"XGB
Teste"
338,0.9765625,"XGB
Teste"
339,0.98828125,"XGB
Teste"
340,0.9765625,"XGB
Teste"
341,0.984375,"XGB
Teste"
342,0.98828125,"XGB
Teste"
343,0.9921875,"XGB
Teste"
344,0.99609375,"XGB
Teste"
345,0.98828125,"XGB
Teste"
346,0.9921875,"XGB
Teste"
347,0.9921875,"XGB
Teste"
348,0.99609375,"XGB
Teste"
349,0.98046875,"XGB
Teste"
350,0.98828125,"XGB
Teste"
351,0.9921875,"XGB
Teste"
352,0.98828125,"XGB
Teste"
353,0.99609375,"XGB
Teste"
354,0.98828125,"XGB
Teste"
355,0.984375,"XGB
Teste"
356,0.99609375,"XGB
Teste"
357,0.9921875,"XGB
Teste"
358,0.98828125,"XGB
Teste"
359,0.9765625,"XGB
Teste"
360,0.9921875,"XGB
Teste"
361,1.0,"XGB
Teste"
362,0.9921875,"XGB
Teste"
363,0.99609375,"XGB
Teste"
364,0.9921875,"XGB
Teste"
365,0.99609375,"XGB
Teste"
366,0.99609375,"XGB
Teste"
367,0.98046875,"XGB
Teste"
368,0.98828125,"XGB
Teste"
369,0.984375,"XGB
Teste"
370,0.98828125,"XGB
Teste"
371,0.99609375,"XGB
Teste"
372,0.99609375,"XGB
Teste"
373,0.99609375,"XGB
Teste"
374,0.99609375,"XGB
Teste"
375,0.9921875,"XGB
Teste"
376,0.9765625,"XGB
Teste"
377,0.9921875,"XGB
Teste"
378,0.9921875,"XGB
Teste"
379,0.984375,"XGB
Teste"
380,0.99609375,"XGB
Teste"
381,0.99609375,"XGB
Teste"
382,0.98828125,"XGB
Teste"
383,0.98046875,"XGB
Teste"
384,0.98828125,"XGB
Teste"
385,0.98828125,"XGB
Teste"
386,0.98046875,"XGB
Teste"
387,0.99609375,"XGB
Teste"
388,0.98828125,"XGB
Teste"
389,0.98828125,"XGB
Teste"
390,0.96875,"XGB
Teste"
391,0.9921875,"XGB
Teste"
392,0.984375,"XGB
Teste"
393,0.99609375,"XGB
Teste"
394,0.9921875,"XGB
Teste"
395,0.98828125,"XGB
Teste"
396,0.984375,"XGB
Teste"
397,0.9921875,"XGB
Teste"
398,0.9921875,"XGB
Teste"
399,0.984375,"XGB
Teste"
