,value,group
346,0.987220447284345,"RF
Teste"
347,0.987220447284345,"RF
Teste"
348,0.9904153354632588,"RF
Teste"
349,0.9904153354632588,"RF
Teste"
350,0.9904153354632588,"RF
Teste"
351,1.0,"RF
Teste"
352,0.9840255591054313,"RF
Teste"
353,0.9840255591054313,"RF
Teste"
354,0.9712460063897763,"RF
Teste"
355,0.9808306709265175,"RF
Teste"
356,0.9936102236421726,"RF
Teste"
357,0.9808306709265175,"RF
Teste"
358,0.9936102236421726,"RF
Teste"
359,0.9968051118210862,"RF
Teste"
360,0.9840255591054313,"RF
Teste"
361,0.987220447284345,"RF
Teste"
362,0.9840255591054313,"RF
Teste"
363,0.987220447284345,"RF
Teste"
364,0.987220447284345,"RF
Teste"
365,0.9904153354632588,"RF
Teste"
366,0.987220447284345,"RF
Teste"
367,0.9936102236421726,"RF
Teste"
368,0.9840255591054313,"RF
Teste"
369,0.9840255591054313,"RF
Teste"
370,0.987220447284345,"RF
Teste"
371,0.9808306709265175,"RF
Teste"
372,0.9904153354632588,"RF
Teste"
373,0.9936102236421726,"RF
Teste"
374,0.9936102236421726,"RF
Teste"
375,0.9808306709265175,"RF
Teste"
376,0.9712460063897763,"RF
Teste"
377,0.9840255591054313,"RF
Teste"
378,0.9936102236421726,"RF
Teste"
379,0.987220447284345,"RF
Teste"
380,0.9840255591054313,"RF
Teste"
381,0.9936102236421726,"RF
Teste"
382,0.987220447284345,"RF
Teste"
383,0.987220447284345,"RF
Teste"
384,0.9840255591054313,"RF
Teste"
385,0.9936102236421726,"RF
Teste"
386,0.9904153354632588,"RF
Teste"
387,0.987220447284345,"RF
Teste"
388,0.9776357827476039,"RF
Teste"
389,0.9968051118210862,"RF
Teste"
390,0.9840255591054313,"RF
Teste"
391,0.9808306709265175,"RF
Teste"
392,0.9904153354632588,"RF
Teste"
393,0.987220447284345,"RF
Teste"
394,0.9808306709265175,"RF
Teste"
395,0.987220447284345,"RF
Teste"
396,0.9808306709265175,"RF
Teste"
397,0.987220447284345,"RF
Teste"
398,0.9904153354632588,"RF
Teste"
399,0.987220447284345,"RF
Teste"
